"","Suburb","Postcode","LGA"
"2959","Ringwood East","3135","Maroondah City"
"2960","Ringwood East","3135","Maroondah City"
"2961","Ringwood East","3135","Maroondah City"
"2962","Ringwood North","3134","Manningham City"
"2963","Ringwood North","3134","Maroondah City"
"2964","Ringwood North","3134","Maroondah City"
"2965","Ringwood North","3134","Maroondah City"
"2966","Ripplebrook","3818","Baw Baw Shire"
"2967","Rippleside","3215","Greater Geelong City"
"2968","Ripponlea","3185","Port Phillip City"
"2969","Riverside","3401","Horsham Rural City"
"2970","Riverslea","3860","Wellington Shire"
"2971","Robertsons Beach","3971","Wellington Shire"
"2972","Robinvale","3549","Swan Hill Rural City"
"2973","Rochester","3561","Campaspe Shire"
"2974","Rochford","3442","Macedon Ranges Shire"
"2975","Rockbank","3335","Melton City"
"2976","Rocklands","3401","Southern Grampians Shire"
"2977","Rocklyn","3364","Hepburn Shire"
"2978","Rocky Point","3377","Ararat Rural City"
"2979","Rokeby","3821","Baw Baw Shire"
"2980","Rokewood","3330","Golden Plains Shire"
"2981","Rokewood Junction","3351","Golden Plains Shire"
"2982","Romsey","3434","Macedon Ranges Shire"
"2983","Rosanna","3084","Banyule City"
"2984","Rosanna","3084","Banyule City"
"2985","Rose River","3678","Wangaratta Rural City"
"2986","Rosebery","3395","Yarriambiack Shire"
"2987","Rosebrook","3285","Moyne Shire"
"2988","Rosebud","3939","Mornington Peninsula Shire"
"2989","Rosedale","3847","Wellington Shire"
"2990","Rosedale","3847","Wellington Shire"
"2991","Roses Gap","3385","Northern Grampians Shire"
"2992","Rosewhite","3737","Alpine Shire"
"2993","Roslynmead","3564","Campaspe Shire"
"2994","Ross Creek","3351","Golden Plains Shire"
"2995","Rossbridge","3377","Ararat Rural City"
"2996","Rostron","3477","Northern Grampians Shire"
"2997","Rowsley","3340","Moorabool Shire"
"2998","Rowville","3178","Knox City"
"2999","Rowville","3178","Knox City"
"3000","Rowville","3178","Knox City"
"3001","Roxburgh Park","3064","Hume City"
"3002","Roxburgh Park","3064","Hume City"
"3003","Rubicon","3712","Murrindindi Shire"
"3004","Ruby","3953","South Gippsland Shire"
"3005","Ruby","3953","South Gippsland Shire"
"3006","Ruffy","3666","Murrindindi Shire"
"3007","Ruffy","3666","Strathbogie Shire"
"3008","Running Creek","3691","Alpine Shire"
"3009","Runnymede","3558","Campaspe Shire"
"3010","Rupanyup","3388","Northern Grampians Shire"
"3011","Rupanyup","3388","Yarriambiack Shire"
"3012","Rushworth","3612","Campaspe Shire"
"3013","Russells Bridge","3331","Golden Plains Shire"
"3014","Rutherglen","3685","Indigo Shire"
"3015","Ryanston","3992","Bass Coast Shire"
"3016","Rye","3941","Mornington Peninsula Shire"
"3017","Rye","3941","Mornington Peninsula Shire"
"3018","Rythdale","3810","Cardinia Shire"
"3019","Safety Beach","3936","Mornington Peninsula Shire"
"3020","Sailors Falls","3461","Hepburn Shire"
"3021","Sailors Gully","3556","Greater Bendigo City"
"3022","Sailors Hill","3461","Hepburn Shire"
"3023","Sale","3850","Wellington Shire"
"3024","Salisbury West","3517","Loddon Shire"
"3025","Samaria","3673","Benalla Rural City"
"3026","San Remo","3925","Bass Coast Shire"
"3027","Sandford","3312","Glenelg Shire"
"3028","Sandhill Lake","3579","Gannawarra Shire"
"3029","Sandhurst","3977","Frankston City"
"3030","Sandon","3462","Mount Alexander Shire"
"3031","Sandringham","3191","Bayside City"
"3032","Sandringham","3191","Bayside City"
"3033","Sandringham","3191","Bayside City"
"3034","Sandy Creek","3695","Indigo Shire"
"3035","Sandy Point","3959","South Gippsland Shire"
"3036","Sarsfield","3875","East Gippsland Shire"
"3037","Sassafras","3787","Knox City"
"3038","Sassafras","3787","Yarra Ranges Shire"
"3039","Sawmill Settlement","3723","Mansfield Shire"
"3040","Scarsdale","3351","Golden Plains Shire"
"3041","Scoresby","3179","Knox City"
"3042","Scoresby","3179","Knox City"
"3043","Scoresby","3179","Knox City"
"3044","Scotchmans Lead","3352","Ballarat City"
"3045","Scotsburn","3352","Ballarat City"
"3046","Scotsburn","3352","Moorabool Shire"
"3047","Scotts Creek","3267","Corangamite Shire"
"3048","Scotts Creek","3267","Corangamite Shire"
"3049","Scotts Creek","3267","Corangamite Shire"
"3050","Sea Lake","3533","Buloke Shire"
"3051","Seabrook","3028","Hobsons Bay City"
"3052","Seacombe","3851","Wellington Shire"
"3053","Seaford","3198","Frankston City"
"3054","Seaford","3198","Frankston City"
"3055","Seaholme","3018","Hobsons Bay City"
"3056","Seaspray","3851","Wellington Shire"
"3057","Seaton","3858","Wellington Shire"
"3058","Seaview","3821","Baw Baw Shire"
"3059","Sebastian","3556","Greater Bendigo City"
"3060","Sebastian","3556","Loddon Shire"
"3061","Sebastopol","3356","Ballarat City"
"3062","Seddon","3011","Maribyrnong City"
"3063","Sedgwick","3551","Greater Bendigo City"
"3064","Selby","3159","Yarra Ranges Shire"
"3065","Separation Creek","3234","Colac Otway Shire"
"3066","Serpentine","3517","Loddon Shire"
"3067","Serpentine","3517","Loddon Shire"
"3068","Serviceton","3420","West Wimmera Shire"
"3069","Seville","3139","Yarra Ranges Shire"
"3070","Seville","3139","Yarra Ranges Shire"
"3071","Seville","3139","Yarra Ranges Shire"
"3072","Seville East","3139","Yarra Ranges Shire"
"3073","Seville East","3139","Yarra Ranges Shire"
"3074","Seymour","3660","Mitchell Shire"
"3075","Shady Creek","3821","Baw Baw Shire"
"3076","Shannonvale","3898","East Gippsland Shire"
"3077","Shays Flat","3377","Northern Grampians Shire"
"3078","Shays Flat","3377","Pyrenees Shire"
"3079","She Oaks","3331","Golden Plains Shire"
"3080","Sheans Creek","3666","Strathbogie Shire"
"3081","Sheans Creek","3666","Strathbogie Shire"
"3082","Sheep Hills","3392","Yarriambiack Shire"
"3083","Sheep Hills","3392","Yarriambiack Shire"
"3084","Shelbourne","3515","Greater Bendigo City"
"3085","Shelbourne","3515","Loddon Shire"
"3086","Shelbourne","3515","Mount Alexander Shire"
"3087","Shelford","3329","Golden Plains Shire"
"3088","Shelley","3701","Towong Shire"
"3089","Shepherds Flat","3461","Hepburn Shire"
"3090","Shepparton","3630","Greater Shepparton City"
"3091","Shepparton East","3631","Greater Shepparton City"
"3092","Shepparton North","3631","Greater Shepparton City"
"3093","Sherbrooke","3789","Yarra Ranges Shire"
"3094","Sherbrooke","3789","Yarra Ranges Shire"
"3095","Shoreham","3916","Mornington Peninsula Shire"
"3096","Sidonia","3444","Macedon Ranges Shire"
"3097","Silvan","3795","Yarra Ranges Shire"
"3098","Silvan","3795","Yarra Ranges Shire"
"3099","Silverleaves","3922","Bass Coast Shire"
"3100","Simpson","3266","Colac Otway Shire"
"3101","Simpson","3266","Corangamite Shire"
"3102","Simpson","3266","Corangamite Shire"
"3103","Simpsons Creek","3888","East Gippsland Shire"
"3104","Simson","3465","Central Goldfields Shire"
"3105","Skenes Creek","3233","Colac Otway Shire"
"3106","Skenes Creek North","3233","Colac Otway Shire"
"3107","Skibo","3260","Corangamite Shire"
"3108","Skinners Flat","3518","Loddon Shire"
"3109","Skipton","3361","Corangamite Shire"
"3110","Skipton","3361","Pyrenees Shire"
"3111","Skye","3977","Frankston City"
"3112","Slaty Creek","3477","Northern Grampians Shire"
"3113","Smeaton","3364","Hepburn Shire"
"3114","Smeaton","3364","Hepburn Shire"
"3115","Smiths Beach","3922","Bass Coast Shire"
"3116","Smiths Gully","3760","Nillumbik Shire"
"3117","Smiths Gully","3760","Nillumbik Shire"
"3118","Smokeytown","3364","Hepburn Shire"
"3119","Smoko","3741","Alpine Shire"
"3120","Smythes Creek","3351","Ballarat City"
"3121","Smythes Creek","3351","Ballarat City"
"3122","Smythes Creek","3351","Golden Plains Shire"
"3123","Smythesdale","3351","Golden Plains Shire"
"3124","Smythesdale","3351","Pyrenees Shire"
"3125","Snake Valley","3351","Pyrenees Shire"
"3126","Soldiers Hill","3350","Ballarat City"
"3127","Somers","3927","Mornington Peninsula Shire"
"3128","Somerton","3062","Hume City"
"3129","Somerton","3062","Hume City"
"3130","Somerville","3912","Mornington Peninsula Shire"
"3131","Sorrento","3943","Mornington Peninsula Shire"
"3132","South Dudley","3995","Bass Coast Shire"
"3133","South Geelong","3220","Greater Geelong City"
"3134","South Kingsville","3015","Hobsons Bay City"
"3135","South Melbourne","3205","Port Phillip City"
"3136","South Melbourne","3205","Port Phillip City"
"3137","South Morang","3752","Whittlesea City"
"3138","South Morang","3752","Whittlesea City"
"3139","South Purrumbete","3260","Corangamite Shire"
"3140","South Wharf","3006","Melbourne City"
"3141","South Yarra","3141","Melbourne City"
"3142","South Yarra","3141","Stonnington City"
"3143","Southbank","3006","Melbourne City"
"3144","Southbank","3006","Port Phillip City"
"3145","Southern Cross","3283","Moyne Shire"
"3146","Spargo Creek","3461","Moorabool Shire"
"3147","Speed","3488","Yarriambiack Shire"
"3148","Speewa","3585","Swan Hill Rural City"
"3149","Spotswood","3015","Hobsons Bay City"
"3150","Spring Gully","3550","Greater Bendigo City"
"3151","Spring Hill","3444","Hepburn Shire"
"3152","Spring Hill","3444","Macedon Ranges Shire"
"3153","Springbank","3352","Moorabool Shire"
"3154","Springbank","3352","Moorabool Shire"
"3155","Springdallah","3351","Golden Plains Shire"
"3156","Springfield","3434","Macedon Ranges Shire"
"3157","Springfield","3544","Buloke Shire"
"3158","Springhurst","3682","Wangaratta Rural City"
"3159","Springmount","3364","Hepburn Shire"
"3160","Springvale","3171","Greater Dandenong City"
"3161","Springvale","3171","Greater Dandenong City"
"3162","Springvale","3171","Greater Dandenong City"
"3163","Springvale","3171","Greater Dandenong City"
"3164","Springvale South","3172","Greater Dandenong City"
"3165","Springvale South","3172","Greater Dandenong City"
"3166","Springvale South","3172","Greater Dandenong City"
"3167","Springvale South","3172","Greater Dandenong City"
"3168","St Albans","3021","Brimbank City"
"3169","St Albans","3021","Brimbank City"
"3170","St Albans Park","3219","Greater Geelong City"
"3171","St Andrews","3761","Nillumbik Shire"
"3172","St Andrews Beach","3941","Mornington Peninsula Shire"
"3173","St Arnaud","3478","Northern Grampians Shire"
"3174","St Arnaud East","3477","Northern Grampians Shire"
"3175","St Arnaud North","3477","Northern Grampians Shire"
"3176","St Clair","3995","Bass Coast Shire"
"3177","St Clair","3995","Bass Coast Shire"
"3178","St Germains","3620","Greater Shepparton City"
"3179","St Helena","3088","Banyule City"
"3180","St Helens","3285","Moyne Shire"
"3181","St Helens Plains","3401","Horsham Rural City"
"3182","St James","3727","Moira Shire"
"3183","St Kilda","3182","Port Phillip City"
"3184","St Kilda","3182","Port Phillip City"
"3185","St Kilda","3182","Port Phillip City"
"3186","St Kilda","3182","Port Phillip City"
"3187","St Kilda East","3183","Glen Eira City"
"3188","St Kilda East","3183","Port Phillip City"
"3189","St Kilda West","3182","Port Phillip City"
"3190","St Leonards","3223","Greater Geelong City"
"3191","Staceys Bridge","3971","Wellington Shire"
"3192","Staffordshire Reef","3351","Golden Plains Shire"
"3193","Staghorn Flat","3691","Indigo Shire"
"3194","Staghorn Flat","3691","Wodonga City"
"3195","Stanhope","3623","Campaspe Shire"
"3196","Stanhope South","3623","Greater Shepparton City"
"3197","Stanley","3747","Indigo Shire"
"3198","Staughton Vale","3340","Greater Geelong City"
"3199","Stavely","3379","Ararat Rural City"
"3200","Stawell","3380","Northern Grampians Shire"
"3201","Stawell","3380","Northern Grampians Shire"
"3202","Stawell","3380","Northern Grampians Shire"
"3203","Steels Creek","3775","Yarra Ranges Shire"
"3204","Steiglitz","3331","Golden Plains Shire"
"3205","Stewarton","3725","Benalla Rural City"
"3206","Stewarton","3725","Greater Shepparton City"
"3207","Stockdale","3862","Wellington Shire"
"3208","Stockyard Hill","3373","Pyrenees Shire"
"3209","Stonehaven","3218","Golden Plains Shire"
"3210","Stoneleigh","3373","Ararat Rural City"
"3211","Stoneleigh","3373","Pyrenees Shire"
"3212","Stony Creek","3371","Central Goldfields Shire"
"3213","Stony Creek","3957","South Gippsland Shire"
"3214","Stony Creek","3957","South Gippsland Shire"
"3215","Stonyford","3260","Colac Otway Shire"
"3216","Stonyford","3260","Corangamite Shire"
"3217","Stonyford","3260","Corangamite Shire"
"3218","Stradbroke","3851","Wellington Shire"
"3219","Stradbroke","3851","Wellington Shire"
"3220","Strangways","3461","Hepburn Shire"
"3221","Strangways","3461","Mount Alexander Shire"
"3222","Straten","3533","Buloke Shire"
"3223","Stratford","3862","Wellington Shire"
"3224","Stratford","3862","Wellington Shire"
"3225","Strath Creek","3658","Murrindindi Shire"
"3226","Strathallan","3622","Campaspe Shire"
"3227","Strathallan","3622","Campaspe Shire"
"3228","Strathbogie","3666","Strathbogie Shire"
"3229","Strathdale","3550","Greater Bendigo City"
"3230","Strathdownie","3312","Glenelg Shire"
"3231","Strathewen","3099","Nillumbik Shire"
"3232","Strathewen","3099","Nillumbik Shire"
"3233","Strathfieldsaye","3551","Greater Bendigo City"
"3234","Strathkellar","3301","Southern Grampians Shire"
"3235","Strathlea","3364","Central Goldfields Shire"
"3236","Strathlea","3364","Mount Alexander Shire"
"3237","Strathmerton","3641","Moira Shire"
"3238","Strathmore","3041","Moonee Valley City"
"3239","Strathmore Heights","3041","Moonee Valley City"
"3240","Strathmore Heights","3041","Moonee Valley City"
"3241","Strathtulloh","3338","Melton City"
"3242","Streatham","3351","Ararat Rural City"
"3243","Streatham","3351","Pyrenees Shire"
"3244","Strzelecki","3950","Baw Baw Shire"
"3245","Strzelecki","3950","South Gippsland Shire"
"3246","Stuart Mill","3477","Northern Grampians Shire"
"3247","Sugarloaf","3234","Colac Otway Shire"
"3248","Sugarloaf Creek","3658","Mitchell Shire"
"3249","Suggan Buggan","3885","East Gippsland Shire"
"3250","Sulky","3352","Ballarat City"
"3251","Sulky","3352","Ballarat City"
"3252","Sulky","3352","Hepburn Shire"
"3253","Sunbury","3429","Hume City"
"3254","Sunday Creek","3658","Mitchell Shire"
"3255","Sunderland Bay","3922","Bass Coast Shire"
"3256","Sunset Strip","3922","Bass Coast Shire"
"3257","Sunshine","3020","Brimbank City"
"3258","Sunshine","3020","Brimbank City"
"3259","Sunshine North","3020","Brimbank City"
"3260","Sunshine West","3020","Brimbank City"
"3261","Surf Beach","3922","Bass Coast Shire"
"3262","Surrey Hills","3127","Boroondara City"
"3263","Surrey Hills","3127","Boroondara City"
"3264","Surrey Hills","3127","Boroondara City"
"3265","Surrey Hills","3127","Boroondara City"
"3266","Surrey Hills","3127","Whitehorse City"
"3267","Surrey Hills","3127","Whitehorse City"
"3268","Sutherland","3477","Northern Grampians Shire"
"3269","Sutherlands Creek","3331","Golden Plains Shire"
"3270","Sutton","3530","Buloke Shire"
"3271","Sutton Grange","3448","Mount Alexander Shire"
"3272","Swan Bay","3225","Greater Geelong City"
"3273","Swan Hill","3585","Swan Hill Rural City"
"3274","Swan Hill West","3585","Swan Hill Rural City"
"3275","Swan Marsh","3249","Colac Otway Shire"
"3276","Swan Reach","3903","East Gippsland Shire"
"3277","Swanpool","3673","Benalla Rural City"
"3278","Swanwater","3477","Northern Grampians Shire"
"3279","Swanwater West","3480","Northern Grampians Shire"
"3280","Swanwater West","3480","Northern Grampians Shire"
"3281","Swifts Creek","3896","East Gippsland Shire"
"3282","Sydenham","3037","Brimbank City"
"3283","Sylvaterre","3575","Loddon Shire"
"3284","Tabilk","3607","Strathbogie Shire"
"3285","Tabilk","3607","Strathbogie Shire"
"3286","Tabor","3289","Southern Grampians Shire"
"3287","Taggerty","3714","Murrindindi Shire"
"3288","Tahara","3301","Glenelg Shire"
"3289","Tahara","3301","Southern Grampians Shire"
"3290","Tahara Bridge","3315","Glenelg Shire"
"3291","Tahara West","3310","Glenelg Shire"
"3292","Talbot","3371","Central Goldfields Shire"
"3293","Talgarno","3691","Towong Shire"
"3294","Tallandoon","3701","Towong Shire"
"3295","Tallangatta","3700","Towong Shire"
"3296","Tallangatta East","3700","Towong Shire"
"3297","Tallangatta South","3701","Towong Shire"
"3298","Tallangatta Valley","3701","Towong Shire"
"3299","Tallarook","3659","Mitchell Shire"
"3300","Tallygaroopna","3634","Greater Shepparton City"
"3301","Tambo Crossing","3893","East Gippsland Shire"
"3302","Tambo Upper","3885","East Gippsland Shire"
"3303","Tamboon","3890","East Gippsland Shire"
"3304","Taminick","3675","Benalla Rural City"
"3305","Tamleugh","3669","Strathbogie Shire"
"3306","Tamleugh North","3669","Greater Shepparton City"
"3307","Tandarook","3260","Corangamite Shire"
"3308","Tandarra","3571","Loddon Shire"
"3309","Tangambalanga","3691","Indigo Shire"
"3310","Tanjil Bren","3833","Baw Baw Shire"
"3311","Tanjil South","3825","Baw Baw Shire"
"3312","Tanjil South","3825","Latrobe City"
"3313","Tantaraboo","3764","Macedon Ranges Shire"
"3314","Tanwood","3478","Pyrenees Shire"
"3315","Tanwood","3478","Pyrenees Shire"
"3316","Tanybryn","3249","Colac Otway Shire"
"3317","Taradale","3447","Hepburn Shire"
"3318","Taradale","3447","Mount Alexander Shire"
"3319","Tarcombe","3666","Mitchell Shire"
"3320","Tarcombe","3666","Strathbogie Shire"
"3321","Tarcombe","3666","Strathbogie Shire"
"3322","Tarilta","3451","Hepburn Shire"
"3323","Tarilta","3451","Mount Alexander Shire"
"3324","Tarnagulla","3551","Loddon Shire"
"3325","Tarneit","3029","Wyndham City"
"3326","Tarneit","3029","Wyndham City"
"3327","Tarnook","3670","Benalla Rural City"
"3328","Taroon","3265","Corangamite Shire"
"3329","Taroon","3265","Moyne Shire"
"3330","Tarra Valley","3971","Wellington Shire"
"3331","Tarranyurk","3414","Hindmarsh Shire"
"3332","Tarraville","3971","Wellington Shire"
"3333","Tarrawarra","3775","Yarra Ranges Shire"
"3334","Tarrawingee","3678","Wangaratta Rural City"
"3335","Tarrayoukyan","3315","Southern Grampians Shire"
"3336","Tarrayoukyan","3315","West Wimmera Shire"
"3337","Tarrengower","3463","Mount Alexander Shire"
"3338","Tarrenlea","3315","Southern Grampians Shire"
"3339","Tarrington","3301","Southern Grampians Shire"
"3340","Tarrone","3283","Moyne Shire"
"3341","Tarwin","3956","South Gippsland Shire"
"3342","Tarwin Lower","3956","South Gippsland Shire"
"3343","Tarwin Lower","3956","South Gippsland Shire"
"3344","Tatong","3673","Benalla Rural City"
"3345","Tatura","3616","Greater Shepparton City"
"3346","Tatura","3616","Greater Shepparton City"
"3347","Tatura East","3616","Greater Shepparton City"
"3348","Tatyoon","3378","Ararat Rural City"
"3349","Tatyoon","3378","Ararat Rural City"
"3350","Tawonga","3697","Alpine Shire"
"3351","Tawonga South","3698","Alpine Shire"
"3352","Taylor Bay","3713","Murrindindi Shire"
"3353","Taylors Hill","3037","Melton City"
"3354","Taylors Lakes","3038","Brimbank City"
"3355","Taylors Lakes","3038","Brimbank City"
"3356","Teal Point","3579","Gannawarra Shire"
"3357","Tecoma","3160","Yarra Ranges Shire"
"3358","Tecoma","3160","Yarra Ranges Shire"
"3359","Teddywaddy","3527","Buloke Shire"
"3360","Teddywaddy West","3527","Buloke Shire"
"3361","Teddywaddy West","3527","Buloke Shire"
"3362","Teesdale","3328","Golden Plains Shire"
"3363","Telangatuk East","3401","Horsham Rural City"
"3364","Telford","3730","Moira Shire"
"3365","Telopea Downs","3420","West Wimmera Shire"
"3366","Templestowe","3106","Manningham City"
"3367","Templestowe","3106","Manningham City"
"3368","Templestowe","3106","Manningham City"
"3369","Templestowe","3106","Manningham City"
"3370","Templestowe Lower","3107","Manningham City"
"3371","Templestowe Lower","3107","Manningham City"
"3372","Templestowe Lower","3107","Manningham City"
"3373","Tempy","3489","Mildura Rural City"
"3374","Tempy","3489","Yarriambiack Shire"
"3375","Tenby Point","3984","Bass Coast Shire"
"3376","Tennyson","3572","Campaspe Shire"
"3377","Terang","3264","Corangamite Shire"
"3378","Terang","3264","Moyne Shire"
"3379","Terip Terip","3719","Murrindindi Shire"
"3380","Terrappee","3525","Buloke Shire"
"3381","Terrappee","3525","Loddon Shire"
"3382","Terrick Terrick","3575","Loddon Shire"
"3383","Terrick Terrick East","3573","Campaspe Shire"
"3384","Tesbury","3260","Corangamite Shire"
"3385","Tesbury","3260","Corangamite Shire"
"3386","Tetoora Road","3821","Baw Baw Shire"
"3387","Thalia","3527","Buloke Shire"
"3388","Thalia","3527","Buloke Shire"
"3389","Thalloo","3825","Baw Baw Shire"
"3390","The Basin","3154","Knox City"
"3391","The Cove","3268","Moyne Shire"
"3392","The Gurdies","3984","Bass Coast Shire"
"3393","The Heart","3851","Wellington Shire"
"3394","The Honeysuckles","3851","Wellington Shire"
"3395","The Patch","3792","Yarra Ranges Shire"
"3396","The Patch","3792","Yarra Ranges Shire"
"3397","The Sisters","3265","Moyne Shire"
"3398","Thologolong","3691","Towong Shire"
"3399","Thomastown","3074","Whittlesea City"
"3400","Thomastown","3074","Whittlesea City"
"3401","Thomson","3219","Greater Geelong City"
"3402","Thoona","3726","Benalla Rural City"
"3403","Thornbury","3071","Darebin City"
"3404","Thornbury","3071","Darebin City"
"3405","Thornbury","3071","Darebin City"
"3406","Thornhill Park","3335","Melton City"
"3407","Thornton","3712","Murrindindi Shire"
"3408","Thorpdale","3835","Baw Baw Shire"
"3409","Thorpdale South","3824","Baw Baw Shire"
"3410","Thorpdale South","3824","South Gippsland Shire"
"3411","Thowgla Valley","3707","Towong Shire"
"3412","Three Bridges","3797","Yarra Ranges Shire"
"3413","Tidal River","3960","South Gippsland Shire"
"3414","Timboon","3268","Corangamite Shire"
"3415","Timboon West","3268","Corangamite Shire"
"3416","Timmering","3561","Campaspe Shire"
"3417","Timmering","3561","Campaspe Shire"
"3418","Timor","3465","Central Goldfields Shire"
"3419","Timor West","3465","Central Goldfields Shire"
"3420","Timor West","3465","Central Goldfields Shire"
"3421","Tinamba","3859","Wellington Shire"
"3422","Tinamba West","3859","Wellington Shire"
"3423","Tintaldra","3708","Towong Shire"
"3424","Tittybong","3542","Gannawarra Shire"
"3425","Tol Tol","3549","Swan Hill Rural City"
"3426","Tolmie","3723","Benalla Rural City"
"3427","Tolmie","3723","Mansfield Shire"
"3428","Tolmie","3723","Wangaratta Rural City"
"3429","Tom Groggin","3707","Towong Shire"
"3430","Tongala","3621","Campaspe Shire"
"3431","Tonghi Creek","3890","East Gippsland Shire"
"3432","Tongio","3896","East Gippsland Shire"
"3433","Tonimbuk","3815","Cardinia Shire"
"3434","Tooan","3409","Horsham Rural City"
"3435","Tooborac","3522","Mitchell Shire"
"3436","Toolamba","3614","Greater Shepparton City"
"3437","Toolamba","3614","Greater Shepparton City"
"3438","Toolamba West","3614","Greater Shepparton City"
"3439","Toolangi","3777","Murrindindi Shire"
"3440","Toolangi","3777","Yarra Ranges Shire"
"3441","Toolern Vale","3337","Macedon Ranges Shire"
"3442","Toolern Vale","3337","Melton City"
"3443","Toolleen","3551","Campaspe Shire"
"3444","Toolleen","3551","Greater Bendigo City"
"3445","Toolondo","3401","Horsham Rural City"
"3446","Toolong","3285","Moyne Shire"
"3447","Toongabbie","3856","Latrobe City"
"3448","Toongabbie","3856","Wellington Shire"
"3449","Toora","3962","South Gippsland Shire"
"3450","Toora North","3962","South Gippsland Shire"
"3451","Tooradin","3980","Cardinia Shire"
"3452","Tooradin","3980","Casey City"
"3453","Tooradin","3980","Casey City"
"3454","Toorak","3142","Stonnington City"
"3455","Toorak","3142","Stonnington City"
"3456","Toorloo Arm","3909","East Gippsland Shire"
"3457","Tootgarook","3941","Mornington Peninsula Shire"
"3458","Torquay","3228","Surf Coast Shire"
"3459","Torquay","3228","Surf Coast Shire"
"3460","Torrita","3490","Mildura Rural City"
"3461","Torrumbarry","3562","Campaspe Shire"
"3462","Torwood","3821","Baw Baw Shire"
"3463","Tostaree","3888","East Gippsland Shire"
"3464","Tottenham","3012","Maribyrnong City"
"3465","Tottington","3477","Northern Grampians Shire"
"3466","Tourello","3363","Ballarat City"
"3467","Towan","3596","Swan Hill Rural City"
"3468","Towaninny","3527","Buloke Shire"
"3469","Towaninny South","3527","Buloke Shire"
"3470","Tower Hill","3283","Moyne Shire"
"3471","Towong","3707","Towong Shire"
"3472","Towong Upper","3707","Towong Shire"
"3473","Trafalgar","3824","Baw Baw Shire"
"3474","Trafalgar East","3824","Baw Baw Shire"
"3475","Trafalgar South","3824","Baw Baw Shire"
"3476","Tragowel","3579","Gannawarra Shire"
"3477","Traralgon","3844","Latrobe City"
"3478","Traralgon East","3844","Latrobe City"
"3479","Traralgon South","3844","Latrobe City"
"3480","Travancore","3032","Moonee Valley City"
"3481","Trawalla","3373","Pyrenees Shire"
"3482","Trawool","3660","Mitchell Shire"
"3483","Trawool","3660","Murrindindi Shire"
"3484","Traynors Lagoon","3477","Northern Grampians Shire"
"3485","Traynors Lagoon","3477","Northern Grampians Shire"
"3486","Tremont","3785","Yarra Ranges Shire"
"3487","Trentham","3458","Hepburn Shire"
"3488","Trentham","3458","Moorabool Shire"
"3489","Trentham East","3458","Hepburn Shire"
"3490","Trentham East","3458","Macedon Ranges Shire"
"3491","Tresco","3583","Swan Hill Rural City"
"3492","Tresco West","3584","Swan Hill Rural City"
"3493","Trida","3953","Baw Baw Shire"
"3494","Trida","3953","South Gippsland Shire"
"3495","Truganina","3029","Melton City"
"3496","Truganina","3029","Wyndham City"
"3497","Tubbut","3888","East Gippsland Shire"
"3498","Tuerong","3915","Mornington Peninsula Shire"
"3499","Tulkara","3384","Northern Grampians Shire"
"3500","Tullamarine","3043","Brimbank City"
"3501","Tullamarine","3043","Hume City"
"3502","Tullamarine","3043","Moreland City"
"3503","Tungamah","3728","Moira Shire"
"3504","Turoar","3546","Swan Hill Rural City"
"3505","Turriff","3488","Yarriambiack Shire"
"3506","Turriff East","3488","Buloke Shire"
"3507","Turtons Creek","3960","South Gippsland Shire"
"3508","Tutye","3490","Mildura Rural City"
"3509","Tyaak","3658","Mitchell Shire"
"3510","Tyabb","3913","Mornington Peninsula Shire"
"3511","Tyenna","3533","Buloke Shire"
"3512","Tyers","3844","Latrobe City"
"3513","Tylden","3444","Hepburn Shire"
"3514","Tylden","3444","Macedon Ranges Shire"
"3515","Tylden South","3444","Hepburn Shire"
"3516","Tynong","3813","Cardinia Shire"
"3517","Tynong North","3813","Cardinia Shire"
"3518","Tyntynder","3586","Swan Hill Rural City"
"3519","Tyntynder South","3586","Swan Hill Rural City"
"3520","Tyrendarra","3285","Glenelg Shire"
"3521","Tyrendarra East","3285","Moyne Shire"
"3522","Tyrrell","3533","Buloke Shire"
"3523","Tyrrell","3533","Swan Hill Rural City"
"3524","Tyrrell Downs","3533","Buloke Shire"
"3525","Ullina","3370","Hepburn Shire"
"3526","Ullswater","3318","West Wimmera Shire"
"3527","Ultima","3544","Swan Hill Rural City"
"3528","Ultima East","3544","Swan Hill Rural City"
"3529","Ulupna","3641","Moira Shire"
"3530","Undera","3629","Greater Shepparton City"
"3531","Underbool","3509","Mildura Rural City"
"3532","Upotipotpon","3669","Strathbogie Shire"
"3533","Upper Ferntree Gully","3156","Knox City"
"3534","Upper Ferntree Gully","3156","Yarra Ranges Shire"
"3535","Upper Ferntree Gully","3156","Yarra Ranges Shire"
"3536","Upper Gundowring","3691","Alpine Shire"
"3537","Upper Lurg","3673","Benalla Rural City"
"3538","Upper Lurg","3673","Wangaratta Rural City"
"3539","Upper Plenty","3756","Mitchell Shire"
"3540","Upper Ryans Creek","3673","Benalla Rural City"
"3541","Upton Hill","3664","Strathbogie Shire"
"3542","Upwey","3158","Yarra Ranges Shire"
"3543","Upwey","3158","Yarra Ranges Shire"
"3544","Valencia Creek","3860","Wellington Shire"
"3545","Vasey","3407","Southern Grampians Shire"
"3546","Vaughan","3451","Mount Alexander Shire"
"3547","Vectis","3401","Horsham Rural City"
"3548","Ventnor","3922","Bass Coast Shire"
"3549","Venus Bay","3956","South Gippsland Shire"
