"","Local government","Garbage","Recyclables","Organics*","Glass","Diversion Rate","Waste and resource recovery group (WRRG)","URL"
"42","Maroondah City","Y","Y","Y",NA,"0.53935497696346302","Metropolitan","http://www.maroondah.vic.gov.au/WasteCollections.aspx"
"43","Melbourne City","Y","Y",NA,NA,"0.15030543816115968","Metropolitan","http://www.melbourne.vic.gov.au/residents/waste-recycling/Pages/waste-recycling.aspx"
"44","Melton Shire","Y","Y","Y",NA,"0.37232239760848457","Metropolitan","http://www.melton.vic.gov.au/Services/Waste-and-recycling"
"45","Mildura Rural City","Y","Y",NA,NA,"0.19305964126550115","Loddon Mallee","http://www.mildura.vic.gov.au/Council-Services/Waste-Management"
"46","Mitchell Shire","Y","Y",NA,NA,"0.27212738711906781","Goulburn Valley","http://www.mitchellshire.vic.gov.au/services/environment-and-waste/waste-and-recycling"
"47","Moira Shire","Y","Y","Y",NA,"0.562319120200656","Goulburn Valley","https://www.moira.vic.gov.au/Residents/Environment/Recycling-organics-and-general-waste"
"48","Monash City","Y","Y","Y",NA,"0.49303856982525418","Metropolitan","http://www.monash.vic.gov.au/Services/Rubbish-amp-Recycling"
"49","Moonee Valley City","Y","Y","Y",NA,"0.40225029004224766","Metropolitan","https://mvcc.vic.gov.au/live/my-house/waste-and-recycling/"
"50","Moorabool Shire","Y","Y","Y",NA,"0.29717796810837876","Grampians Central West","http://www.moorabool.vic.gov.au/?id=260101009802C8A16BA010C6CA25748D001A14CE"
"51","Moreland City","Y","Y","Y",NA,"0.45795365033198276","Metropolitan","https://www.moreland.vic.gov.au/living-in-moreland/waste-and-recycling/recycling-a-to-z-guide"
"52","Mornington Peninsula Shire","Y","Y","Y",NA,"0.50447378811076038","Metropolitan","http://www.mornpen.vic.gov.au/Your-Property/Rubbish-Recycling"
"53","Mount Alexander Shire","Y","Y",NA,NA,"0.32678515652008577","Loddon Mallee","http://www.mountalexander.vic.gov.au/WasteManagement"
"54","Moyne Shire","Y","Y","Y","Y","0.56498731424429138","Barwon South Western","http://www.moyne.vic.gov.au/Your-Property/Recycling-and-Waste"
"55","Murrindindi Shire","Y","Y",NA,NA,"0.24430894308943091","Goulburn Valley","http://www.murrindindi.vic.gov.au/Your-Property/Garbage-and-Recycling"
"56","Nillumbik Shire","Y","Y","Y",NA,"0.56453585914372817","Metropolitan","http://www.nillumbik.vic.gov.au/Living-in/Waste-and-recycling"
"57","Northern Grampians Shire","Y","Y",NA,NA,"0.29426889412997903","Grampians Central West","https://www.ngshire.vic.gov.au/Home"
"58","Port Phillip City","Y","Y",NA,NA,"0.24592526033290746","Metropolitan","https://www.portphillip.vic.gov.au/council-services/waste-recycling-and-cleaning/resource-recovery-centre-and-depot"
"59","Pyrenees Shire","Y","Y","Y",NA,"0.20388812351024516","Grampians Central West","https://www.pyrenees.vic.gov.au/Residents/Waste-and-Recycling"
"60","Queenscliffe Borough","Y","Y","Y",NA,"0.43499686782209224","Barwon South Western","http://www.queenscliffe.vic.gov.au/environment-and-sustainability/recycling-and-waste/a-z-waste-guide"
"61","South Gippsland Shire","Y","Y","Y",NA,"0.50506523241748746","Gippsland","http://www.southgippsland.vic.gov.au/Page/Page.asp?Page_Id=84&amp;p=1"
"62","Southern Grampians Shire","Y","Y","Y",NA,"0.41245404411764708","Barwon South Western","http://www.sthgrampians.vic.gov.au/Page/Page.aspx?Page_Id=2525"
"63","Stonnington City","Y","Y","Y",NA,"0.36513283149292641","Metropolitan","http://www.stonnington.vic.gov.au/Live/Waste/Council-Waste-and-Recycling-Collections"
"64","Strathbogie Shire","Y","Y","Y",NA,"0.68645232206650175","Goulburn Valley","http://www.strathbogie.vic.gov.au/residents/roads-rates-a-rubbish"
"65","Surf Coast Shire","Y","Y","Y",NA,"0.5315180394826412","Barwon South Western","http://www.surfcoast.vic.gov.au/My_Property/Waste_Recycling"
"66","Swan Hill Rural City","Y","Y","Y",NA,"0.26810882548108828","Loddon Mallee","http://www.swanhill.vic.gov.au/environment-and-waste/waste-and-recycling/"
"67","Towong Shire","Y","Y",NA,NA,"0.2711610486891386","North East","http://www.towong.vic.gov.au/facilities-services/environment-waste/"
